area,price
6.1,553
6.101,525
6.102,260.4
6.103,490
6.104,602
6.105,735
6.106,223.3
6.107,419.3
6.108,385
6.109,476
6.11,819
6.111,514.5
6.112,392
6.113,420
6.114,315
6.115,385
6.116,910
6.117,385
6.118,367.5
6.119,455
6.12,679
6.121,210
6.122,735
6.123,630
6.124,409.85
6.125,462
6.126,538.3
6.127,388.5
6.128,342.3
6.129,343
6.13,497
6.131,420
6.132,420
6.133,280
6.134,266
6.135,294
6.136,588
6.137,651
6.138,350
6.139,315
6.14,329
6.141,287
6.142,840
6.143,552.3
6.144,336
6.145,400.75
6.146,329
6.147,665
6.148,448
6.149,420
6.15,721
6.151,370.3
6.152,707
6.153,259
6.154,353.5
6.155,700
6.156,294
6.157,294
6.158,336
6.159,392
6.16,462
6.161,756
6.162,287
6.163,423.5
6.164,329
6.165,300.3
6.166,455
6.167,402.5
6.168,301
6.169,455
6.17,462
6.171,808.094
6.172,623
6.173,490
6.174,374.5
6.175,490
6.176,595
6.177,451.5
6.178,854
6.179,297.5
6.18,294
6.181,602
6.182,525
6.183,619.5
6.184,343
6.185,420
6.186,504
6.187,490
6.188,402.5
6.189,910
6.19,693
6.191,577.5
6.192,640.5
6.193,385
6.194,525
6.195,420
6.196,560
6.197,770
6.198,314.3
6.199,294
